,bnf_code,special_count,non_special_count,special_names,non_special_names
10,0607020C0AAAAAA,1,6,Danazol 100mg capsules,Danazol 100mg capsules
11,1310040C0AAAAAA,1,6,Benzyl benzoate 25% application,Benzyl benzoate 25% application
12,0407010H0AAA5A5,1,5,Paracetamol 500mg/5ml oral suspension (Royal Preston Hospital mucilage formula),Paracetamol 500mg/5ml oral suspension sugar free
13,0906012B0AAACAC,1,5,Betacarotene 15mg capsules,Betacarotene 15mg capsules
14,0409020N0AAAMAM,1,5,Orphenadrine 50mg tablets,Orphenadrine 50mg tablets
15,1001040P0AAACAC,1,4,Sulfinpyrazone 200mg tablets,Sulfinpyrazone 200mg tablets
16,0402010W0AAACAC,1,4,Thioridazine 25mg/5ml oral solution,Thioridazine 25mg/5ml oral solution
17,0407020Q0AAGCGC,1,4,Morphine sulfate 30mg suppositories,Morphine sulfate 30mg suppositories
18,0502030B0AAAXAX,1,4,"Nystatin 100,000units/ml oral suspension sugar free","Nystatin 100,000units/ml oral suspension sugar free"
19,0803041S0AAAHAH,1,4,Tamoxifen 10mg/5ml oral solution,Tamoxifen 10mg/5ml oral suspension
20,0906040G0AAELEL,1,4,Colecalciferol 400unit tablets,Colecalciferol 400unit tablets
21,1003020N0AAAAAA,1,4,Methyl salicylate 25% liniment,Methyl salicylate 25% liniment
22,1003020N0AAABAB,1,4,Methyl salicylate 50% ointment,Methyl salicylate 50% ointment
23,1105000B0AAADAD,1,4,Atropine 0.5% eye drops,Atropine 0.5% eye drops
24,1106000X0AABPBP,1,4,Pilocarpine hydrochloride 0.5% eye drops,Pilocarpine hydrochloride 0.5% eye drops
25,1310020D0AAAAAA,1,4,Benzoic acid compound ointment,Benzoic acid compound ointment
26,1502010J0AABMBM,1,4,Lidocaine 1% gel,Lidocaine 1% gel
27,1502010J0AAEPEP,1,4,Lidocaine 2% gel,Lidocaine 2% gel
28,190600000AABLBL,1,4,Acetic acid 33% solution,Acetic acid 33% solution
29,0906040G0AAEAEA,1,3,"Colecalciferol 5,000unit capsules","Colecalciferol 5,000unit capsules"
30,0104020H0AAAAAA,1,3,Co-phenotrope 2.5mg/0.025mg tablets,Co-phenotrope 2.5mg/0.025mg tablets
31,0107010E0AAABAB,1,3,Bismuth subgallate 300mg suppositories,Bismuth subgallate 300mg suppositories
32,0201010D0AAAAAA,1,3,Digitoxin 100microgram tablets,Digitoxin 100microgram tablets
33,0205040S0AAADAD,1,3,Prazosin 2mg tablets,Prazosin 2mg tablets
34,0205040S0AAAEAE,1,3,Prazosin 5mg tablets,Prazosin 5mg tablets
35,0206010A0AAAAAA,1,3,Amyl nitrite vitrellae 0.2ml,Amyl nitrite vitrellae 0.2ml
36,0402010W0AAAFAF,1,3,Thioridazine 25mg tablets,Thioridazine 25mg tablets
37,0402010W0AAAGAG,1,3,Thioridazine 50mg tablets,Thioridazine 50mg tablets
38,0402010W0AAAHAH,1,3,Thioridazine 100mg tablets,Thioridazine 100mg tablets
39,0402020L0AAACAC,1,3,Fluphenazine decanoate 25mg/1ml solution for injection ampoules,Fluphenazine decanoate 25mg/1ml solution for injection ampoules
40,0402020L0AAAFAF,1,3,Fluphenazine decanoate 100mg/1ml solution for injection ampoules,Fluphenazine decanoate 100mg/1ml solution for injection ampoules
41,0407020Q0AACRCR,1,3,Morphine sulfate 20mg suppositories,Morphine sulfate 20mg suppositories
42,0407020Q0AAGDGD,1,3,Morphine sulfate 15mg suppositories,Morphine sulfate 15mg suppositories
43,0602020G0AAABAB,1,3,Iodine aqueous oral solution,Iodine aqueous oral solution
44,0603020F0AAAHAH,1,3,Cortisone 25mg tablets,Cortisone 25mg tablets
45,0604011G0AAABAB,1,3,Estradiol 50mg implant,Estradiol 50mg implant
46,0604020K0AAABAB,1,3,Testosterone 100mg implant,Testosterone 100mg implant
47,0604020K0AAACAC,1,3,Testosterone 200mg implant,Testosterone 200mg implant
48,0905021I0AAADAD,1,3,Potassium phosphate 17.42% (potassium 20mmol/10ml) solution for infusion 10ml ampoules,Potassium phosphate 17.42% (potassium 20mmol/10ml) solution for infusion 10ml ampoules
49,0906022K0AAAAAA,1,3,Nicotinamide 50mg tablets,Nicotinamide 50mg tablets
50,0906040G0AACQCQ,1,3,"Colecalciferol 10,000unit tablets","Colecalciferol 10,000unit tablets"
51,0906040N0AAAMAM,1,3,Ergocalciferol 250microgram tablets,Ergocalciferol 250microgram tablets
52,0906040N0AACPCP,1,3,"Ergocalciferol 600,000units/2ml solution for injection ampoules","Ergocalciferol 600,000units/2ml solution for injection ampoules"
53,0907000H0AAABAB,1,3,Gentian alkaline mixture,Gentian alkaline mixture
54,1002010H0AAAAAA,1,3,Edrophonium chloride 10mg/1ml solution for injection ampoules,Edrophonium chloride 10mg/1ml solution for injection ampoules
55,1104010M0AAACAC,1,3,Hydrocortisone 0.5% eye ointment,Hydrocortisone 0.5% eye ointment
56,1104010M0AAADAD,1,3,Hydrocortisone 1% eye ointment,Hydrocortisone 1% eye ointment
57,1105000B0AAAHAH,1,3,Atropine 1% eye ointment,Atropine 1% eye ointment
58,1105000H0AAADAD,1,3,Homatropine 1% eye drops preservative free,Homatropine 1% eye drops
59,1108010K0AAAAAA,1,3,Sodium chloride 0.9% eye drops,Sodium chloride 0.9% eye drops
60,130101000AAARAR,1,3,Zinc compound paste,Zinc compound paste
61,1305010J0AAADAD,1,3,Ichthammol glycerin liquid,Ichthammol glycerin liquid
62,1305020S0AACUCU,1,3,Zinc and Salicylic acid paste,Zinc and Salicylic acid paste
63,1310011P0AAAAAA,1,3,Neomycin 0.5% cream,Neomycin 0.5% cream
64,1502010J0AAAKAK,1,3,Lidocaine 4% solution,Lidocaine 4% solution
65,190400000AATETE,1,3,Lactose powder,Lactose powder
66,0905013F0AAABAB,1,2,Magnesium citrate 100mg capsules,Magnesium citrate 100mg capsules
67,090504100AABBBB,1,2,Zinc citrate 50mg capsules,Zinc citrate 50mg capsules
68,0906025P0AABFBF,1,2,Riboflavin 50mg capsules,Riboflavin 50mg capsules
69,0402010AFAAAAAA,1,2,Melperone hydrochloride 100mg tablets,Melperone hydrochloride 100mg tablets
70,0602010M0AAABAB,1,2,Liothyronine 20microgram solution for injection ampoules,Liothyronine 20microgram solution for injection ampoules
71,0704030C0AAABAB,1,2,Ammonium chloride mixture sugar free,Ammonium chloride mixture sugar free
72,0905011K0AAAGAG,1,2,Calcium gluconate 600mg tablets,Calcium gluconate 600mg tablets
73,0906040G0AACRCR,1,2,"Colecalciferol 20,000unit tablets","Colecalciferol 20,000unit tablets"
74,0906040G0AADWDW,1,2,"Colecalciferol 2,200unit capsules","Colecalciferol 2,200unit capsules"
75,0906040G0AADXDX,1,2,"Colecalciferol 2,500unit capsules","Colecalciferol 2,500unit capsules"
76,0906040G0AADZDZ,1,2,"Colecalciferol 30,000unit capsules","Colecalciferol 30,000unit capsules"
77,1305010J0AAAAAA,1,2,Ichthammol 10% ointment,Ichthammol 10% ointment
78,1305010J0AAABAB,1,2,Zinc and Ichthammol cream,Zinc and Ichthammol cream
79,1305020C0AAFPFP,6,2,"Coal tar solution 6% / Salicylic acid 2% in Emulsifying ointment, Coal tar solution 6% / Salicylic acid 2% in Unguentum M cream, Coal tar solution 6% / Salicylic acid 2% in ointment, Coal tar solution 6% / Salicylic acid 2% in White soft paraffin, Coal tar solution 6% / Salicylic acid 2% in Yellow soft paraffin, Coal tar solution 6% / Salicylic acid 2% in Epaderm ointment","Tar pomade (RVI Newcastle Upon Tyne formula), Tar pomade (L.G.I. formula)"
80,1307000J0AAAAAA,1,2,Podophyllin compound paint,Podophyllin compound paint
81,1311010S0AAADAD,1,2,Sodium chloride 0.9% solution,Sodium chloride 0.9% solution
82,1311040L0AAAAAA,1,2,Iodoform compound paint BPC 1954,Iodoform compound paint BPC 1954
83,1501050P0AAACAC,1,2,Suxamethonium chloride 100mg/2ml solution for injection pre-filled syringes,Suxamethonium chloride 100mg/2ml solution for injection pre-filled syringes
84,0702020T0AAAFAF,1,1,"Nystatin 100,000unit pessaries","Nystatin 100,000unit pessaries"
85,090501300AABIBI,1,1,Magnesium malate 250mg capsules,Magnesium malate 250mg capsules
86,0906022K0AAAPAP,1,1,Nicotinamide 250mg tablets,Nicotinamide 250mg tablets
87,0913445A0AAAGAG,1,1,L-Phenylalanine 500mg capsules,L-Phenylalanine 500mg capsules
88,0203020U0AAAGAG,1,1,Quinidine sulfate 200mg tablets,Quinidine sulfate 200mg tablets
89,0401010ADAAACAC,1,1,Melatonin 500microgram capsules,Melatonin 500microgram capsules
90,0401010ADAAAHAH,1,1,Melatonin 2.5mg capsules,Melatonin 2.5mg capsules
91,0401010ADAAAJAJ,1,1,Melatonin 3mg modified-release capsules,Melatonin 3mg modified-release capsules
92,0401010ADAAAKAK,1,1,Melatonin 10mg capsules,Melatonin 10mg capsules
93,0401010ADAAAQAQ,1,1,Melatonin 3mg modified-release tablets,Melatonin 3mg modified-release tablets
94,0401010ADAABIBI,1,1,Melatonin 3mg lozenges sugar free,Melatonin 3mg lozenges sugar free
95,0401010ADAABQBQ,1,1,Melatonin 1mg capsules,Melatonin 1mg capsules
96,0402010AHAAAAAA,1,1,Clotiapine 40mg tablets,Clotiapine 40mg tablets
